n_components,reconstruction_error,alpha,l1_ratio,topics,time
13,137.12064145306496,1,0.25,"['00000011', '00000010b', '00000010', '00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",2.8656768369837664
13,137.12064145306496,1,0.5,"['00000011', '00000010b', '00000010', '00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",3.02265464302036
13,137.12064145306496,1,0.75,"['00000011', '00000010b', '00000010', '00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",2.942846656020265
13,137.12064145306496,1,1.0,"['00000011', '00000010b', '00000010', '00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",97.91594180598622
13,137.12064145306496,5,0.0,"['00000011', '00000010b', '00000010', '00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",2.134731575002661
13,137.12064145306496,5,0.25,"['00000011', '00000010b', '00000010', '00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",1.9976682800042909
13,137.12064145306496,5,0.5,"['00000011', '00000010b', '00000010', '00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",2.5104943310143426
13,137.12064145306496,5,0.75,"['00000011', '00000010b', '00000010', '00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",2.8309090650000144
13,137.12064145306496,5,1.0,"['00000011', '00000010b', '00000010', '00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",95.37805727898376
13,137.12064145306496,10,0.0,"['0000', '00000011', '00000010b', '00000010', '00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '000', '00']",4.4014403719920665
13,137.12064145306496,10,0.25,"['00000011', '00000010b', '00000010', '00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",3.2719703349866904
13,137.12064145306496,10,0.5,"['00000011', '00000010b', '00000010', '00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",2.212438087008195
13,137.12064145306496,10,0.75,"['00000011', '00000010b', '00000010', '00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",2.729072256013751
13,137.12064145306496,10,1.0,"['00000011', '00000010b', '00000010', '00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",82.41447105200496
14,134.64905601649352,0,0.0,"['00000001b', '00000010b', '00', '00000', '00000000', '00000010', '000', '0000000004', '00000001', '000000', '00000011b', '00000011', '00000000b', '0000']",14.629190040024696
14,137.12064145306496,1,0.0,"['00000011b', '00000001b', '0000', '00000010', '00000001', '00000000b', '0000000004', '00000', '000', '00000011', '00000010b', '00000000', '000000', '00']",2.3544901960121933
14,137.12064145306496,1,0.25,"['00000011b', '00000011', '00000010b', '00000010', '00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",1.785900537011912
14,137.12064145306496,1,0.5,"['00000011b', '00000011', '00000010b', '00000010', '00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",1.716751521016704
14,137.12064145306496,1,0.75,"['00000011b', '00000011', '00000010b', '00000010', '00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",1.7460930730157997
14,137.12064145306496,1,1.0,"['00000011b', '00000011', '00000010b', '00000010', '00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",100.0693395579874
14,137.12064145306496,5,0.0,"['00000011b', '00000001', '00000011', '00000010b', '00000010', '00000001b', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",2.115988737990847
14,137.12064145306496,5,0.25,"['00000011b', '00000011', '00000010b', '00000010', '00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",2.2202032769855577
14,137.12064145306496,5,0.5,"['00000011b', '00000011', '00000010b', '00000010', '00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",1.6840790499991272
14,137.12064145306496,5,0.75,"['00000011b', '00000011', '00000010b', '00000010', '00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",1.6372334679763298
14,137.12064145306496,5,1.0,"['00000011b', '00000011', '00000010b', '00000010', '00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",88.74112960099592
14,137.12064145306496,10,0.0,"['00000000', '00000011b', '00000011', '00000010b', '00000010', '00000001b', '00000001', '00000000b', '0000000004', '000000', '00000', '0000', '000', '00']",2.1460835070174653
14,137.12064145306496,10,0.25,"['00000011b', '00000011', '00000010b', '00000010', '00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",1.6132513440097682
14,137.12064145306496,10,0.5,"['00000011b', '00000011', '00000010b', '00000010', '00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",1.591635024000425
14,137.12064145306496,10,0.75,"['00000011b', '00000011', '00000010b', '00000010', '00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",2.0038998589734547
14,137.12064145306496,10,1.0,"['00000011b', '00000011', '00000010b', '00000010', '00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",101.48227673899964
15,134.56429481283868,0,0.0,"['00000001b', '00000010b', '00', '00000', '00000000', '00000010', '00000074', '0000000004', '00000001', '000000', '00000011b', '00000011', '00000000b', '0000', '000']",19.08220967501984
15,137.12064145306496,1,0.0,"['00000074', '00000010b', '00000001b', '000', '00000011b', '00000010', '00000001', '0000000004', '00000000b', '0000', '00000011', '00000000', '000000', '00000', '00']",2.780441909999354
15,137.12064145306496,1,0.25,"['00000074', '00000011b', '00000011', '00000010b', '00000010', '00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",3.0048784660175443
15,137.12064145306496,1,0.5,"['00000074', '00000011b', '00000011', '00000010b', '00000010', '00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",2.48623538899119
15,137.12064145306496,1,0.75,"['00000074', '00000011b', '00000011', '00000010b', '00000010', '00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",1.8274132369842846
15,137.12064145306496,1,1.0,"['00000074', '00000011b', '00000011', '00000010b', '00000010', '00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",123.24781413099845
